Dataset,ErrorType,Feature,Percentage,Model,Accuracy,Precision,Recall,F1_Score
noise_03_loan_status,noise,loan_status,30,knn,0.8033,0.5707,0.3704,0.4492
noise_03_loan_status,noise,loan_status,30,mlp,0.8119,0.5443,0.8084,0.6506
noise_03_loan_status,noise,loan_status,30,nb,0.8185,0.5571,0.7899,0.6534
noise_03_loan_status,noise,loan_status,30,dt,0.8407,0.7193,0.4339,0.5413
noise_03_loan_status,noise,loan_status,30,svm,0.7993,0.7594,0.1074,0.1882
noise_03_person_age,noise,person_age,30,lda,0.9722,0.9897,0.8807,0.932
noise_03_person_age,noise,person_age,30,lr,0.9728,0.9758,0.8968,0.9346
noise_03_person_age,noise,person_age,30,et,0.956,0.895,0.9029,0.8989
noise_03_person_age,noise,person_age,30,rf,0.8657,0.7305,0.6022,0.6602
noise_03_person_age,noise,person_age,30,knn,0.8497,0.751,0.4581,0.5691
noise_03_person_age,noise,person_age,30,mlp,0.8539,0.6567,0.6814,0.6688
noise_03_person_age,noise,person_age,30,nb,0.8204,0.7035,0.2954,0.4161
noise_03_person_age,noise,person_age,30,dt,0.8192,0.5779,0.6122,0.5946
noise_03_person_age,noise,person_age,30,svm,0.8167,0.7324,0.2419,0.3636
noise_03_person_emp_length,noise,person_emp_length,30,lda,0.9739,0.9891,0.8894,0.9366
noise_03_person_emp_length,noise,person_emp_length,30,lr,0.9733,0.973,0.9016,0.936
noise_03_person_emp_length,noise,person_emp_length,30,et,0.957,0.8962,0.9065,0.9013
noise_03_person_emp_length,noise,person_emp_length,30,rf,0.8659,0.7303,0.6037,0.661
noise_03_person_emp_length,noise,person_emp_length,30,knn,0.8533,0.734,0.5058,0.5989
noise_03_person_emp_length,noise,person_emp_length,30,mlp,0.8533,0.6569,0.6757,0.6662
noise_03_person_emp_length,noise,person_emp_length,30,nb,0.817,0.6826,0.2896,0.4067
noise_03_person_emp_length,noise,person_emp_length,30,dt,0.8382,0.8182,0.3251,0.4653
noise_03_person_emp_length,noise,person_emp_length,30,svm,0.5603,0.2979,0.7594,0.4279
noise_03_person_home_ownership,noise,person_home_ownership,30,lda,0.9654,0.9682,0.8689,0.9159
noise_03_person_home_ownership,noise,person_home_ownership,30,lr,0.9578,0.9494,0.8505,0.8973
noise_03_person_home_ownership,noise,person_home_ownership,30,et,0.8621,0.715,0.6043,0.655
noise_03_person_home_ownership,noise,person_home_ownership,30,rf,0.9511,0.8786,0.8984,0.8884
noise_03_person_home_ownership,noise,person_home_ownership,30,knn,0.8487,0.7288,0.4797,0.5786
noise_03_person_home_ownership,noise,person_home_ownership,30,mlp,0.8415,0.6235,0.6769,0.6491
noise_03_person_home_ownership,noise,person_home_ownership,30,nb,0.8189,0.6991,0.2876,0.4076
